seq_length,torch_time,attention_time,flash_time
64,7.321222666666666,1.1819836666666668,0.4469700000000001
128,3.4032401666666665,2.619786333333334,0.3745276666666666
256,5.556122500000001,2.0577963333333336,0.43852366666666676
512,3.783192166666668,2.975188333333333,0.5736576666666667
1024,3.386965833333333,3.893414,0.8413363333333329
2048,3.965248666666666,6.742900333333334,2.285133666666667
4096,5.385562333333334,20.048115666666668,16.094037333333333
8192,29.7066925,82.83919366666667,66.27452633333333
16384,139.02649533333332,316.43453266666666,297.61948533333333
32768,679.5583988333333,1362.462463333333,1118.2763603333335
65536,-1,-1,4510.771406
131072,-1,-1,18450.455509333333
262144,-1,-1,72814.40046633333
524288,-1,-1,102264.03593633331
1048576,-1,-1,318060.03678366664
