seq_length,torch_time,attention_time,flash_time
64,4.900961666666666,0.5414133333333332,0.36931033333333335
128,5.827989166666666,0.5970949999999996,0.404614666666667
256,6.002721166666667,1.2009486666666662,0.568149
512,2.7887573333333333,2.1314240000000004,0.7024429999999997
1024,2.723784333333333,3.523997333333334,0.9036546666666667
2048,3.0307046666666664,6.555285333333333,2.4537400000000003
4096,5.4962385000000005,15.003419333333332,6.648054999999999
8192,10.883947666666666,23.082644,12.751369666666669
16384,33.781764833333334,61.415277333333336,43.26118133333333
32768,149.91547816666665,296.54706733333336,161.51485333333335
65536,-1,-1,640.8575826666666
131072,-1,-1,2556.6083036666664
262144,-1,-1,10932.880266333334
524288,-1,-1,52370.933636
1048576,-1,-1,209330.82556766667
