seq_length,torch_time,attention_time,flash_time
64,6.7758709999999995,0.5466730000000009,0.33186700000000013
128,3.326651833333333,0.5105053333333335,0.35421566666666654
256,2.683443333333333,0.7772860000000001,0.40415833333333334
512,4.2032039999999995,1.5559696666666663,0.4650460000000011
1024,5.564869666666667,2.581384,0.5563863333333331
2048,2.8718349999999995,4.533965666666667,1.093275
4096,5.0823564999999995,10.230510999999998,2.6562886666666667
8192,14.611432333333333,28.400941666666665,7.962270333333333
16384,48.28703816666667,87.782775,30.433526333333333
32768,215.59389516666667,435.8539486666666,116.85803133333333
65536,-1,-1,469.68184933333333
131072,-1,-1,1889.5752846666667
262144,-1,-1,7708.656493333333
524288,-1,-1,31892.233308
1048576,-1,-1,130616.16171866667
